機場全稱
"ABERDEEN REGIONAL AIRPORT, SD US"
"TUCSON INTERNATIONAL AIRPORT, AZ US"
"TULSA INTERNATIONAL AIRPORT, OK US"
"CHAMPAIGN URBANA WILLARD AIRPORT, IL US"
"VALDOSTA REGIONAL AIRPORT, GA US"
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US"
"WALLA WALLA REGIONAL AIRPORT, WA US"
"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US"
"WESTCHESTER CO AIRPORT, NY US"
"SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US"
"WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US"
"BARROW AIRPORT, AK US"
"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US"
"OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US"
"HOUSTON WILLIAM P HOBBY AIRPORT, TX US"
"WILMINGTON INTERNATIONAL AIRPORT, NC US"
"WORCESTER REGIONAL AIRPORT, MA US"
"YAKIMA AIRPORT, WA US"
"YAKUTAT AIRPORT, AK US"
"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US"
"CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US"
"DEVILS LAKE MUNICIPAL AIRPORT, ND US"
"KAPALUA W. MAUI AIRPORT 462.4, HI US"
"YOUNGSTOWN WARREN REGIONAL AIRPORT, OH US"
"WILLISTON AIRPORT, ND US"
"WILLIAMSPORT REGIONAL AIRPORT, PA US"
"WICHITA FALLS MUNICIPAL AIRPORT, TX US"
"WATERTOWN AIRPORT, NY US"
"WATERTOWN REGIONAL AIRPORT, SD US"
"WATERLOO MUNICIPAL AIRPORT, IA US"
"WACO REGIONAL AIRPORT, TX US"
"VINEYARD HAVEN MARTHAS VINEYARD AIRPORT, MA US"
"VERNAL MUNICIPAL AIRPORT, UT US"
"STILLWATER REGIONAL AIRPORT, OK US"
"SIOUX CITY AIRPORT, IA US"
"SHERIDAN AIRPORT, WY US"
"SAN ANGELO MATHIS FIELD AIRPORT, TX US"
"SALISBURY WICOMICO REGIONAL AIRPORT, MD US"
"SALINA MUNICIPAL AIRPORT, KS US"
"RIVERTON REGIONAL AIRPORT, WY US"
"PIERRE REGIONAL AIRPORT, SD US"
"NORTH PLATTE REGIONAL AIRPORT, NE US"
"NEW HAVEN TWEED AIRPORT, CT US"
"NANTUCKET MEMORIAL AIRPORT, MA US"
"MOAB CANYONLAND AIRPORT, UT US"
"LYNCHBURG REGIONAL AIRPORT, VA US"
"LONGVIEW E TX REGIONAL AIRPORT, TX US"
"LAWTON MUNICIPAL AIRPORT, OK US"
"KING SALMON AIRPORT, AK US"
"JOPLIN REGIONAL AIRPORT, MO US"
"HYANNIS BARNSTABLE MUNICIPAL AIRPORT, MA US"
"GARDEN CITY REGIONAL AIRPORT, KS US"
"FLORENCE REGIONAL AIRPORT, SC US"
"FLAGSTAFF AIRPORT, AZ US"
"DUBUQUE REGIONAL AIRPORT, IA US"
"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US"
"ABILENE REGIONAL AIRPORT, TX US"
"MOBILE DOWNTOWN AIRPORT, AL US"
"BISHOP AIRPORT, CA US"
"COLD BAY AIRPORT, AK US"
"CHEYENNE WSFO AIRPORT, WY US"
"DODGE CITY REGIONAL AIRPORT, KS US"
"DECATUR AIRPORT, IL US"
"DEL RIO INTERNATIONAL AIRPORT, TX US"
"WILMINGTON NEW CASTLE CO AIRPORT, DE US"
"JOHNSTOWN CAMBRIA CO AIRPORT, PA US"
"MASON CITY MUNICIPAL AIRPORT, IA US"
"EVERETT SNOHOMISH CO AIRPORT, WA US"
"VICTORIA REGIONAL AIRPORT, TX US"



















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































